District,Population
Okres Bratislava I,42546
Okres Bratislava II,116669
Okres Bratislava III,70641
Okres Bratislava IV,98404
Okres Bratislava V,112688
Okres Malacky,75325
Okres Pezinok,66174
Okres Senec,94577
Okres Dunajská Streda,123355
Okres Galanta,94179
Okres Hlohovec,44731
Okres Piešťany,62626
Okres Senica,60314
Okres Skalica,46965
Okres Trnava,133154
Okres Bánovce nad Bebravou,35972
Okres Ilava,58811
Okres Myjava,26062
Okres Nové Mesto nad Váhom,62572
Okres Partizánske,45293
Okres Považská Bystrica,61993
Okres Prievidza,132891
Okres Púchov,44136
Okres Trenčín,114837
Okres Komárno,100992
Okres Levice,110040
Okres Nitra,161499
Okres Nové Zámky,137778
Okres Šaľa,51309
Okres Topoľčany,69521
Okres Zlaté Moravce,40369
Okres Tvrdošín,36127
Okres Žilina,158456
Okres Bytča,31056
Okres Čadca,89494
Okres Dolný Kubín,39480
Okres Kysucké Nové Mesto,32890
Okres Liptovský Mikuláš,72054
Okres Martin,95921
Okres Námestovo,63268
Okres Ružomberok,56536
Okres Turčianske Teplice,15854
Okres Veľký Krtíš,43002
Okres Zvolen,68657
Okres Žarnovica,26054
Okres Žiar nad Hronom,46477
Okres Banská Bystrica,110631
Okres Banská Štiavnica,16003
Okres Brezno,60905
Okres Detva,31771
Okres Krupina,22050
Okres Lučenec,73071
Okres Poltár,21179
Okres Revúca,39349
Okres Rimavská Sobota,83953
Okres Stará Ľubovňa,54054
Okres Stropkov,20366
Okres Svidník,32334
Okres Vranov nad Topľou,80906
Okres Bardejov,77666
Okres Humenné,61398
Okres Kežmarok,76165
Okres Levoča,33730
Okres Medzilaborce,11708
Okres Poprad,105015
Okres Prešov,176781
Okres Sabinov,61072
Okres Snina,35833
Okres Spišská Nová Ves,100201
Okres Trebišov,105136
Okres Gelnica,31923
Okres Košice I,67421
Okres Košice II,82115
Okres Košice III,28535
Okres Košice IV,60067
Okres Košice - okolie,131305
Okres Michalovce,110670
Okres Rožňava,61944
Okres Sobrance,22775